"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-02","0.00","0.0","3.9","33"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-03","0.70","1.2","3.1","29"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-04","0.30","0.0","3.1","37"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-05","0.73","5.8","1.2","33"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-06","0.00","0.0","7.1","20"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-07","0.00","0.0","5.9","26"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-08","0.00","0.0","3.9","39"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-09","0.02","0.0","2.0","42"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-10","0.49","0.0","1.2","42"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-11","0.02","0.0","0.0","49"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-12","0.00","0.0","0.0","47"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-13","0.00","0.0","0.0","37"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-14","1.11","0.0","0.0","43"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-15","0.00","0.0","0.0","45"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-16","0.00","0.0","0.0","41"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-17","0.02","0.0","0.0","47"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-18","0.00","0.0","0.0","35"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-19","0.00","0.0","0.0","35"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-20","0.33","3.0","0.0","35"
